name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
PD Collingwood,2001-2011,190,179,37,5041,120*,76.83,5,26,7,England
AJ Stewart,1989-2003,164,160,14,4662,116,68.4,4,28,13,England
IR Bell,2004-2014,134,131,8,4513,126*,75.04,3,28,4,England
KP Pietersen,2004-2013,127,120,16,4401,130,87.11,9,25,7,England
GA Gooch,1976-1995,121,120,5,4274,142,62.14,8,23,4,England
ME Trescothick,2000-2006,116,116,5,4232,137,85.94,12,21,13,England
AJ Strauss,2003-2011,123,123,7,4178,158,80.92,6,27,9,England
AJ Lamb,1982-1992,120,118,16,4010,118,75.54,4,26,8,England
GA Hick,1991-2001,117,116,15,3743,126*,73.78,5,26,10,England
NV Knight,1996-2003,99,99,9,3620,125*,71.58,5,25,6,England
A Flintoff,1999-2009,132,118,16,3287,123,89.27,3,18,9,England
DI Gower,1978-1991,113,111,8,3170,158,75.15,7,12,6,England
AN Cook,2006-2014,75,75,2,2811,137,78.73,5,18,7,England
IJL Trott,2009-2013,65,63,8,2777,137,77.07,4,22,5,England
EJG Morgan,2009-2014,87,83,18,2699,124*,92.65,5,16,3,England
RA Smith,1988-1996,68,68,6,2408,167*,70,4,15,4,England
RS Bopara,2007-2014,98,93,21,2362,101*,78.75,1,11,4,England
N Hussain,1989-2003,87,86,9,2323,115,67.13,1,16,6,England
GP Thorpe,1993-2002,80,75,13,2312,89,71.42,0,21,3,England
IT Botham,1976-1992,114,105,14,2107,79,79.53,0,9,6,England
MW Gatting,1977-1993,92,88,17,2095,115*,70.58,1,9,4,England
NH Fairbrother,1987-1999,74,71,18,2092,113,72.06,1,16,2,England
MP Vaughan,2001-2007,81,80,7,1945,90*,68.31,0,16,9,England
OA Shah,2001-2009,68,65,6,1816,107*,78.51,1,12,6,England
MA Atherton,1990-1998,53,53,3,1778,127,58.81,2,12,4,England
BC Broad,1987-1988,34,34,0,1361,106,55.61,1,11,2,England
MJ Prior,2004-2011,66,61,8,1281,87,76.89,0,3,5,England
VS Solanki,2000-2006,49,45,5,1089,106,72.84,2,5,2,England
G Boycott,1971-1981,34,33,4,1067,105,53.51,1,9,1,England
DW Randall,1976-1985,48,45,5,1067,88,62.69,0,5,4,England
