Player_Name,Span,Matches,Bowl_Inns,Balls,Maidens,Runs_Conceded,Wkts,BBI,SR,Four_Wk_Haul,Five_Wk_Haul,Country
Kapil Dev,1978-1994,225,221,11202,235,6945,253,5\43,44.2,3,1,India
J Srinath,1991-2003,229,227,11935,137,8847,315,5\23,37.8,7,3,India
Z Khan,2000-2012,194,191,9815,112,8102,269,5\42,36.4,7,1,India
A Kumble,1990-2007,269,263,14376,109,10300,334,6\12,43,8,2,India
AB Agarkar,1998-2007,191,188,9484,100,8021,288,6\42,32.9,10,2,India
Harbhajan Singh,1998-2011,227,218,11939,83,8550,255,5\31,46.8,2,3,India
BKV Prasad,1994-2001,161,160,8129,79,6332,196,5\27,41.4,3,1,India
M Prabhakar,1984-1996,130,127,6360,76,4534,157,5\33,40.5,4,2,India
RJ Shastri,1981-1992,150,136,6613,56,4650,129,5\15,51.2,2,1,India
A Nehra,2001-2011,117,117,5637,53,4899,155,6\23,36.3,5,2,India
IK Pathan,2004-2012,120,118,5855,53,5142,173,5\27,33.8,5,2,India
P Kumar,2007-2012,68,67,3242,45,2774,77,4\31,42.1,3,0,India
Madan Lal,1974-1987,67,64,3164,44,2137,73,4\20,43.3,2,0,India
RA Jadeja,2009-2014,101,98,4973,43,3910,120,5\36,41.4,4,1,India
MM Patel,2006-2011,70,67,3154,38,2603,86,4\29,36.6,3,0,India
RMH Binny,1980-1987,72,67,2957,37,2260,77,4\29,38.4,3,0,India
SB Joshi,1996-2001,69,67,3386,33,2509,69,5\6,49,1,1,India
Maninder Singh,1983-1993,59,57,3133,33,2066,66,4\22,47.4,1,0,India
B Kumar,2012-2014,35,35,1748,32,1381,37,4\8,47.2,1,0,India
RP Singh,2005-2011,58,57,2565,31,2343,69,4\35,37.1,2,0,India
SC Ganguly,1992-2007,308,170,4543,30,3835,100,5\16,45.4,1,2,India
RR Singh,1989-2001,136,117,3734,28,2985,69,5\22,54.1,0,2,India
I Sharma,2007-2014,72,71,3361,27,3207,102,4\38,32.9,4,0,India
SR Tendulkar,1989-2012,463,270,8054,24,6850,154,5\32,52.2,4,2,India
R Ashwin,2010-2014,79,78,4264,21,3489,106,3\24,40.2,0,0,India
N Chopra,1998-2000,39,37,1835,21,1286,46,5\21,39.8,1,1,India
DS Mohanty,1997-2001,45,44,1996,21,1662,57,4\56,35,1,0,India
Arshad Ayub,1987-1990,32,32,1769,19,1216,31,5\21,57,0,1,India
M Kartik,2002-2007,37,36,1907,19,1612,37,6\27,51.5,0,1,India
C Sharma,1983-1994,65,63,2835,19,2336,67,3\22,42.3,0,0,India
Vinay Kumar,2010-2013,31,31,1436,19,1423,38,4\30,37.7,1,0,India
A Kuruvilla,1997-1997,25,25,1131,18,890,25,4\43,45.2,1,0,India
Yuvraj Singh,2000-2013,290,155,4928,18,4171,110,5\31,44.8,2,1,India
M Amarnath,1975-1989,85,64,2730,17,1971,46,3\12,59.3,0,0,India
BS Bedi,1974-1979,10,10,590,17,340,7,2\44,84.2,0,0,India
Mohammed Shami,2013-2014,29,29,1491,17,1448,50,4\50,29.8,2,0,India
SLV Raju,1990-1996,53,52,2770,16,2014,63,4\46,43.9,2,0,India
S Sreesanth,2005-2011,53,52,2476,16,2508,75,6\55,33,2,1,India
BS Sandhu,1982-1984,22,21,1110,15,763,16,3\27,69.3,0,0,India
A Mishra,2003-2014,23,22,1228,14,911,40,6\48,30.7,2,1,India
V Sehwag,1999-2013,241,142,4290,13,3737,94,4\6,45.6,1,0,India
RK Chauhan,1993-1997,35,34,1634,12,1216,29,3\29,56.3,0,0,India
KD Ghavri,1975-1981,19,19,1033,12,708,15,3\40,68.8,0,0,India
L Balaji,2002-2009,30,30,1447,11,1344,34,4\48,42.5,1,0,India
Abid Ali,1974-1975,5,5,336,10,187,7,2\22,48,0,0,India
SM Patil,1980-1986,45,20,864,9,589,15,2\28,57.6,0,0,India
UT Yadav,2010-2013,28,28,1292,9,1308,30,3\32,43,0,0,India
DR Doshi,1980-1982,15,15,792,8,524,22,4\30,36,2,0,India
S Venkataraghavan,1974-1983,15,14,868,7,542,5,2\34,173.6,0,0,India
PP Chawla,2007-2011,25,25,1312,6,1117,32,4\23,41,2,0,India
Harvinder Singh,1997-2001,16,16,686,6,609,24,3\44,28.5,0,0,India
ND Hirwani,1988-1992,18,18,960,6,719,23,4\43,41.7,3,0,India
RR Powar,2004-2007,31,29,1536,6,1191,34,3\24,45.1,0,0,India
SK Sharma,1988-1990,23,22,979,6,813,22,5\26,44.5,0,1,India
