Player_Name,Span,Matches,field_Inns,Dissmissals,Ct,St,Ct_Wk,Ct_Fi,Country
AC Gilchrist,1996-2008,286,285,470,416,54,416,0,Australia
IA Healy,1988-1997,168,168,233,194,39,194,0,Australia
RT Ponting,1995-2012,374,371,159,159,0,0,159,Australia
BJ Haddin,2001-2014,105,103,156,146,10,146,0,Australia
AR Border,1979-1994,273,270,127,127,0,0,127,Australia
RW Marsh,1971-1984,92,92,124,120,4,120,0,Australia
SR Waugh,1986-2002,325,324,111,111,0,0,111,Australia
ME Waugh,1988-2002,244,243,108,108,0,0,108,Australia
MEK Hussey,2004-2012,185,184,105,105,0,0,105,Australia
MJ Clarke,2003-2014,236,234,100,100,0,0,100,Australia
A Symonds,1998-2009,198,196,82,82,0,0,82,Australia
SK Warne,1993-2003,193,192,80,80,0,0,80,Australia
MG Bevan,1994-2004,232,230,69,69,0,0,69,Australia
DR Martyn,1992-2006,208,205,69,69,0,0,69,Australia
ML Hayden,1993-2008,160,157,68,68,0,0,68,Australia
SR Watson,2002-2014,173,172,60,60,0,0,60,Australia
MA Taylor,1989-1997,113,113,56,56,0,0,56,Australia
DM Jones,1984-1994,164,164,54,54,0,0,54,Australia
B Lee,2000-2012,221,217,54,54,0,0,54,Australia
MS Wade,2012-2014,42,42,50,43,7,43,0,Australia
WB Phillips,1982-1986,48,48,49,42,7,42,0,Australia
DC Boon,1984-1995,181,181,45,45,0,0,45,Australia
TD Paine,2009-2011,26,25,39,35,4,35,0,Australia
CL White,2005-2011,87,86,37,37,0,0,37,Australia
GB Hogg,1996-2008,123,121,36,36,0,0,36,Australia
GD McGrath,1993-2007,249,247,36,36,0,0,36,Australia
PL Taylor,1987-1992,83,83,34,34,0,0,34,Australia
GR Marsh,1986-1992,117,117,31,31,0,0,31,Australia
TM Alderman,1981-1991,65,65,29,29,0,0,29,Australia
DJ Hussey,2008-2013,69,69,29,29,0,0,29,Australia
MG Johnson,2005-2014,136,135,29,29,0,0,29,Australia
GC Dyer,1986-1988,23,23,28,24,4,24,0,Australia
KJ Hughes,1977-1985,97,96,27,27,0,0,27,Australia
CJ McDermott,1985-1996,138,138,27,27,0,0,27,Australia
NW Bracken,2001-2009,116,116,26,26,0,0,26,Australia
DS Lehmann,1996-2005,117,116,26,26,0,0,26,Australia
JR Hopes,2005-2010,84,83,25,25,0,0,25,Australia
PR Reiffel,1992-1999,92,92,25,25,0,0,25,Australia
NM Hauritz,2002-2011,58,57,24,24,0,0,24,Australia
GJ Bailey,2012-2014,39,39,23,23,0,0,23,Australia
GS Chappell,1971-1983,74,72,23,23,0,0,23,Australia
S Lee,1995-2001,45,44,23,23,0,0,23,Australia
GRJ Matthews,1984-1993,59,59,23,23,0,0,23,Australia
TJ Zoehrer,1986-1994,22,22,23,21,2,21,0,Australia
SP O'Donnell,1985-1991,87,87,22,22,0,0,22,Australia
TM Moody,1987-1999,76,76,21,21,0,0,21,Australia
AJ Bichel,1997-2004,67,66,19,19,0,0,19,Australia
KC Wessels,1983-1985,54,52,19,19,0,0,19,Australia
GF Lawson,1980-1989,79,79,18,18,0,0,18,Australia
