Player_Name,Span,Matches,Bat_Inns,Not_out,Runs_Conceded,Highest_Score,SR,Hundreds,Fifties,Ducks,Fours,Sixes,Country
DA Warner,2009-2014,51,51,2,1391,90*,138.96,0,10,5,133,63,Australia
SR Watson,2006-2014,45,43,3,1074,81,146.32,0,10,3,83,66,Australia
CL White,2007-2014,44,41,12,918,85*,133.81,0,5,3,64,43,Australia
DJ Hussey,2008-2012,39,36,3,756,88*,121.34,0,3,4,41,34,Australia
MEK Hussey,2005-2012,38,30,11,721,60*,136.29,0,4,1,58,25,Australia
AJ Finch,2011-2014,18,18,2,660,156,156.76,1,5,0,70,30,Australia
MJ Clarke,2005-2010,34,28,5,488,67,103.17,0,1,2,29,10,Australia
GJ Bailey,2012-2014,28,25,7,470,63,140.71,0,2,1,37,20,Australia
BJ Haddin,2006-2014,33,29,6,402,47,114.52,0,0,2,30,13,Australia
RT Ponting,2005-2009,17,16,2,401,98*,132.78,0,2,2,41,11,Australia
A Symonds,2005-2009,14,11,4,337,85*,169.34,0,2,2,33,10,Australia
ML Hayden,2005-2007,9,9,3,308,73*,143.92,0,4,0,37,13,Australia
GJ Maxwell,2012-2014,21,17,2,303,74,165.57,0,1,0,24,21,Australia
AC Gilchrist,2005-2008,13,13,1,272,48,141.66,0,0,0,27,13,Australia
SE Marsh,2008-2013,13,13,1,223,47*,104.69,0,0,2,12,10,Australia
MS Wade,2011-2014,22,13,4,202,72,118.12,0,1,0,11,8,Australia
BJ Hodge,2007-2014,15,11,4,183,36,127.08,0,0,0,9,7,Australia
SPD Smith,2010-2011,20,15,4,165,34,108.55,0,0,1,12,3,Australia
AC Voges,2007-2013,7,5,2,139,51,121.92,0,1,0,8,2,Australia
DR Martyn,2005-2006,4,4,0,120,96,162.16,0,1,0,11,5,Australia
MG Johnson,2007-2013,30,17,7,109,28*,114.73,0,0,2,8,3,Australia
JR Hopes,2005-2010,12,7,2,105,30,107.14,0,0,0,7,1,Australia
B Lee,2005-2012,25,12,6,101,43*,142.25,0,0,2,9,4,Australia
SM Katich,2005-2006,3,2,0,69,39,146.8,0,0,0,8,2,Australia
GB Hogg,2006-2014,15,4,0,55,41,141.02,0,0,0,3,3,Australia
MR Marsh,2011-2012,3,3,1,49,36,140,0,0,0,2,4,Australia
L Ronchi,2008-2009,3,2,0,47,36,174.07,0,0,0,8,1,Australia
NM Coulter-Nile,2013-2014,10,4,2,41,16*,132.25,0,0,1,1,4,Australia
JP Faulkner,2012-2014,7,5,2,40,13,111.11,0,0,0,2,1,Australia
NJ Maddinson,2013-2013,1,1,0,34,34,212.5,0,0,0,6,1,Australia
CA Lynn,2014-2014,2,1,1,33,33*,173.68,0,0,0,1,3,Australia
JW Hastings,2010-2011,3,3,2,32,15,177.77,0,0,0,2,1,Australia
SNJ O'Keefe,2010-2011,7,5,0,32,22,123.07,0,0,0,4,1,Australia
TR Birt,2010-2012,4,3,0,31,17,93.93,0,0,0,3,1,Australia
BCJ Cutting,2013-2014,3,2,0,29,29,170.58,0,0,1,1,3,Australia
JN Gillespie,2005-2005,1,1,0,24,24,133.33,0,0,0,4,0,Australia
PJ Cummins,2011-2012,11,5,1,22,13,91.66,0,0,1,1,1,Australia
TD Paine,2009-2011,5,3,0,22,21,122.22,0,0,1,2,1,Australia
MJ North,2009-2009,1,1,0,20,20,95.23,0,0,0,1,0,Australia
CJ McKay,2010-2013,6,4,2,19,7,86.36,0,0,1,1,1,Australia
DT Christian,2010-2014,15,6,3,18,6*,120,0,0,1,2,0,Australia
XJ Doherty,2012-2013,11,4,3,18,9*,105.88,0,0,0,1,0,Australia
CJ Ferguson,2009-2009,3,3,0,16,8,84.21,0,0,1,1,0,Australia
DP Nannes,2009-2010,15,4,3,16,12*,145.45,0,0,0,1,1,Australia
BJ Rohrer,2013-2013,1,1,0,16,16,114.28,0,0,0,0,1,Australia
NW Bracken,2006-2009,19,6,3,15,4*,68.18,0,0,1,1,0,Australia
LA Pomersbach,2007-2007,1,1,0,15,15,214.28,0,0,0,1,1,Australia
MC Henriques,2009-2014,4,2,0,13,12,92.85,0,0,0,1,0,Australia
MA Starc,2012-2014,18,5,1,12,4,66.66,0,0,0,0,0,Australia
SW Tait,2007-2011,19,5,1,10,6,83.33,0,0,1,0,1,Australia
NM Hauritz,2009-2009,3,2,0,6,4,60,0,0,0,1,0,Australia
GD McGrath,2005-2005,2,1,0,5,5,41.66,0,0,0,0,0,Australia
JL Pattinson,2011-2012,4,2,2,5,5*,166.66,0,0,0,1,0,Australia
JM Muirhead,2014-2014,5,2,1,4,3,50,0,0,0,0,0,Australia
Fawad Ahmed,2013-2013,2,1,1,3,3*,60,0,0,0,0,0,Australia
MS Kasprowicz,2005-2005,2,1,1,3,3*,60,0,0,0,0,0,Australia
RJ Harris,2010-2010,3,1,1,2,2*,200,0,0,0,0,0,Australia
BW Hilfenhaus,2007-2012,7,3,1,2,2,20,0,0,1,0,0,Australia
DE Bollinger,2011-2014,6,2,2,1,1*,100,0,0,0,0,0,Australia
PM Siddle,2009-2010,2,1,1,1,1*,100,0,0,0,0,0,Australia
SM Harwood,2007-2009,3,1,1,0,0*,0,0,0,0,0,0,Australia
AA Noffke,2007-2008,2,1,0,0,0,0,0,0,1,0,0,Australia
SR Clark,2006-2007,9,0,0,0,0,0,0,0,0,0,0,Australia
B Geeves,2009-2009,1,0,0,0,0,0,0,0,0,0,0,Australia
JR Hazlewood,2013-2014,4,0,0,0,0,0,0,0,0,0,0,Australia
B Laughlin,2009-2013,3,0,0,0,0,0,0,0,0,0,0,Australia
ML Lewis,2006-2006,2,0,0,0,0,0,0,0,0,0,0,Australia
KP Pietersen,2005-2012,35,35,5,1167,79,143.54,0,7,1,119,32,England
EJG Morgan,2009-2014,46,45,9,1026,85*,129.87,0,5,1,94,37,England
AD Hales,2011-2014,29,29,3,945,116*,136.36,1,6,3,102,28,England
LJ Wright,2007-2014,47,42,4,725,99*,139.69,0,4,9,67,30,England
RS Bopara,2008-2014,34,32,8,661,65*,115.55,0,3,0,48,15,England
PD Collingwood,2005-2011,33,32,2,583,79,127.85,0,3,2,37,24,England
MJ Lumb,2010-2014,25,25,1,536,63,134,0,3,1,61,21,England
C Kieswetter,2010-2012,23,23,1,512,63,114.54,0,3,2,47,23,England
JC Buttler,2011-2014,33,29,7,480,67,133.33,0,2,2,37,19,England
OA Shah,2007-2009,16,15,1,347,55*,122.18,0,1,0,26,13,England
TT Bresnan,2006-2014,33,21,9,211,47*,128.65,0,0,3,15,6,England
JM Bairstow,2011-2013,17,14,4,194,60*,108.37,0,1,0,16,5,England
SR Patel,2011-2013,17,14,2,189,67,109.24,0,1,2,17,5,England
IR Bell,2006-2011,7,7,1,175,60*,119.86,0,1,0,21,2,England
ME Trescothick,2005-2006,3,3,0,166,72,126.71,0,2,0,23,1,England
JE Root,2012-2014,7,5,2,152,90*,139.44,0,1,0,20,2,England
IJL Trott,2007-2010,6,6,0,138,51,98.57,0,1,0,9,3,England
MJ Prior,2007-2010,9,8,2,127,32,127,0,0,1,11,5,England
AD Mascarenhas,2007-2009,14,13,5,123,31,123,0,0,3,8,5,England
SCJ Broad,2006-2014,53,25,9,118,18*,100,0,0,2,7,3,England
DL Maddy,2007-2007,4,4,0,113,50,141.25,0,1,0,12,3,England
SM Davies,2009-2011,5,5,0,102,33,124.39,0,0,0,12,0,England
GP Swann,2008-2012,36,15,10,97,34,115.47,0,0,2,9,1,England
MH Yardy,2006-2011,13,7,5,96,35*,133.33,0,0,2,9,1,England
A Flintoff,2005-2007,7,7,1,76,31,126.66,0,0,1,7,2,England
VS Solanki,2005-2007,3,3,0,76,43,124.59,0,0,0,10,1,England
CJ Jordan,2014-2014,6,5,2,75,27*,136.36,0,0,0,4,5,England
AJ Strauss,2005-2009,4,4,0,73,33,114.06,0,0,1,9,0,England
AN Cook,2007-2009,4,4,0,61,26,112.96,0,0,0,10,0,England
JWM Dalrymple,2006-2007,3,3,0,60,32,105.26,0,0,0,6,0,England
P Mustard,2008-2008,2,2,0,60,40,162.16,0,0,0,5,4,England
MM Ali,2014-2014,6,6,0,57,36,107.54,0,0,1,8,1,England
BA Stokes,2011-2014,6,5,1,49,31,128.94,0,0,1,4,2,England
JS Foster,2009-2009,5,5,2,37,14*,115.62,0,0,0,0,1,England
CR Woakes,2011-2013,4,3,2,37,19*,123.33,0,0,0,1,2,England
GO Jones,2005-2006,2,2,1,33,19,132,0,0,0,5,0,England
JC Tredwell,2012-2014,14,6,3,32,22,160,0,0,1,4,1,England
PA Nixon,2007-2007,1,1,1,31,31*,140.9,0,0,0,2,1,England
MP Vaughan,2005-2007,2,2,0,27,27,122.72,0,0,1,4,0,England
JW Dernbach,2011-2014,32,7,2,24,12,114.28,0,0,1,3,0,England
CP Schofield,2007-2007,4,4,3,24,9*,120,0,0,0,2,0,England
JL Denly,2009-2010,4,4,0,20,14,71.42,0,0,1,2,0,England
SG Borthwick,2011-2011,1,1,0,14,14,87.5,0,0,0,2,0,England
ST Finn,2011-2013,17,3,3,14,8*,73.68,0,0,0,1,0,England
CMW Read,2006-2006,1,1,0,13,13,118.18,0,0,0,2,0,England
RWT Key,2009-2009,1,1,1,10,10*,125,0,0,0,0,0,England
AU Rashid,2009-2009,5,2,1,10,9*,52.63,0,0,0,0,0,England
JN Snape,2007-2007,1,1,0,7,7,63.63,0,0,0,0,0,England
RJ Sidebottom,2007-2010,16,1,1,5,5*,125,0,0,0,1,0,England
GJ Batty,2009-2009,1,1,0,4,4,57.14,0,0,0,0,0,England
A Khan,2009-2009,1,1,0,2,2,50,0,0,0,0,0,England
RJ Kirtley,2007-2007,1,1,1,2,2*,50,0,0,0,0,0,England
JM Anderson,2007-2009,18,4,3,1,1*,50,0,0,1,0,0,England
EC Joyce,2006-2007,2,1,0,1,1,33.33,0,0,0,0,0,England
J Lewis,2005-2007,2,2,1,1,1,25,0,0,0,0,0,England
SI Mahmood,2006-2009,4,2,2,1,1*,50,0,0,0,0,0,England
MS Panesar,2007-2007,1,1,0,1,1,50,0,0,0,0,0,England
SD Parry,2014-2014,3,1,0,1,1,100,0,0,0,0,0,England
DR Briggs,2012-2014,6,1,1,0,0*,0,0,0,0,0,0,England
A Shahzad,2010-2011,3,1,1,0,0*,0,0,0,0,0,0,England
TR Ambrose,2008-2008,1,0,0,0,0,0,0,0,0,0,0,England
D Gough,2005-2006,2,0,0,0,0,0,0,0,0,0,0,England
SJ Harmison,2005-2006,2,0,0,0,0,0,0,0,0,0,0,England
SC Meaker,2012-2012,2,0,0,0,0,0,0,0,0,0,0,England
LE Plunkett,2006-2006,1,0,0,0,0,0,0,0,0,0,0,England
WB Rankin,2013-2013,1,0,0,0,0,0,0,0,0,0,0,England
CT Tremlett,2007-2007,1,0,0,0,0,0,0,0,0,0,0,England
BB McCullum,2005-2014,66,66,10,2043,123,136.65,2,13,3,192,85,New Zealand
MJ Guptill,2009-2014,47,45,6,1241,101*,122.02,1,5,2,110,49,New Zealand
LRPL Taylor,2006-2014,57,52,9,1056,63,121.51,0,5,4,68,42,New Zealand
SB Styris,2005-2010,31,29,2,578,66,119.66,0,1,0,40,25,New Zealand
JDP Oram,2005-2012,35,29,6,464,66*,140.6,0,2,3,37,22,New Zealand
JEC Franklin,2006-2013,36,30,8,461,60,120.05,0,2,2,28,23,New Zealand
JD Ryder,2008-2014,22,21,1,457,62,127.65,0,3,2,47,18,New Zealand
KS Williamson,2011-2014,17,15,3,352,51,120.96,0,1,0,39,5,New Zealand
RJ Nicol,2010-2013,20,18,0,326,58,114.78,0,2,2,33,11,New Zealand
NL McCullum,2007-2014,54,33,11,270,36*,102.27,0,0,3,17,7,New Zealand
DL Vettori,2007-2012,33,21,6,205,38,109.62,0,0,2,14,2,New Zealand
C Munro,2012-2014,13,12,3,194,73*,130.2,0,1,0,12,10,New Zealand
CD McMillan,2005-2007,8,7,1,187,57,159.82,0,1,0,8,14,New Zealand
L Vincent,2006-2007,9,9,0,174,42,100,0,0,1,17,3,New Zealand
HD Rutherford,2013-2013,6,6,0,151,62,145.19,0,1,0,12,9,New Zealand
L Ronchi,2013-2014,8,6,3,140,51*,160.91,0,1,1,11,7,New Zealand
KD Mills,2005-2014,40,18,6,131,33*,109.16,0,0,4,10,5,New Zealand
PG Fulton,2006-2012,12,12,1,127,25,90.71,0,0,2,7,6,New Zealand
AJ Redmond,2009-2010,7,6,0,126,63,150,0,1,0,19,2,New Zealand
SP Fleming,2005-2006,5,5,0,110,38,129.41,0,0,0,20,0,New Zealand
AP Devcich,2013-2013,2,2,0,89,59,164.81,0,1,0,14,2,New Zealand
GJ Hopkins,2007-2010,10,8,0,86,36,121.12,0,0,0,5,5,New Zealand
TWM Latham,2012-2013,5,4,0,76,22,107.04,0,0,0,4,1,New Zealand
NJ Astle,2005-2006,4,4,1,74,40*,110.44,0,0,0,7,2,New Zealand
DAJ Bracewell,2011-2012,13,7,4,70,21*,129.62,0,0,1,5,3,New Zealand
CJ Anderson,2012-2014,11,7,1,68,20*,138.77,0,0,1,6,3,New Zealand
NT Broom,2009-2013,10,6,1,67,36,109.83,0,0,0,7,1,New Zealand
PD McGlashan,2006-2010,11,9,1,61,26,95.31,0,0,0,6,2,New Zealand
DR Flynn,2008-2012,5,5,0,59,23,115.68,0,0,0,1,4,New Zealand
