Player,Span,Mat,Bowl_Inns,Overs,Maidens,Runs,Wkts,BBI,Ave,Econ,SR,Four_Wk_Haul,Five_Wk_Haul,Country
NW Bracken,2006-2009,19,19,62.5,2,438,19,3\11,23.05,6.97,19.8,0,0,Australia
PJ Cummins,2011-2012,11,11,43,2,315,16,3\15,19.68,7.32,16.1,0,0,Australia
MG Johnson,2007-2013,30,30,109.2,2,797,38,3\15,20.97,7.28,17.2,0,0,Australia
DP Nannes,2009-2010,15,14,53,2,403,27,4\18,14.92,7.6,11.7,1,0,Australia
SW Tait,2007-2011,19,19,71.4,2,498,28,3\13,17.78,6.94,15.3,0,0,Australia
SR Watson,2006-2014,45,39,125,2,945,39,4\15,24.23,7.56,19.2,1,0,Australia
RJ Harris,2010-2010,3,3,11.4,1,95,4,2\27,23.75,8.14,17.5,0,0,Australia
GB Hogg,2006-2014,15,15,49,1,373,7,2\31,53.28,7.61,42,0,0,Australia
DJ Hussey,2008-2012,39,25,60.1,1,392,19,3\25,20.63,6.51,19,0,0,Australia
CJ McKay,2010-2013,6,6,22.4,1,183,4,2\24,45.75,8.07,34,0,0,Australia
AA Noffke,2007-2008,2,2,7.3,1,41,4,3\18,10.25,5.46,11.2,0,0,Australia
SPD Smith,2010-2011,20,16,47.3,1,373,17,3\20,21.94,7.85,16.7,0,0,Australia
MA Starc,2012-2014,18,18,67.3,1,459,24,3\11,19.12,6.8,16.8,0,0,Australia
DE Bollinger,2011-2014,6,6,24,0,176,6,1\23,29.33,7.33,24,0,0,Australia
DT Christian,2010-2014,15,15,35,0,310,11,3\27,28.18,8.85,19,0,0,Australia
SR Clark,2006-2007,9,9,36,0,237,13,4\20,18.23,6.58,16.6,1,0,Australia
MJ Clarke,2005-2010,34,15,26,0,225,6,1\2,37.5,8.65,26,0,0,Australia
NM Coulter-Nile,2013-2014,10,10,37,0,311,14,4\31,22.21,8.4,15.8,1,0,Australia
BCJ Cutting,2013-2014,3,3,10,0,88,1,1\18,88,8.8,60,0,0,Australia
XJ Doherty,2012-2013,11,11,38,0,300,10,3\20,30,7.89,22.8,0,0,Australia
JP Faulkner,2012-2014,7,7,25.4,0,209,7,3\28,29.85,8.14,22,0,0,Australia
Fawad Ahmed,2013-2013,2,2,8,0,68,3,3\25,22.66,8.5,16,0,0,Australia
AJ Finch,2011-2014,18,2,2,0,27,0,0,0,13.5,0,0,0,Australia
B Geeves,2009-2009,1,1,3.2,0,35,2,2\35,17.5,10.5,10,0,0,Australia
JN Gillespie,2005-2005,1,1,4,0,49,1,1\49,49,12.25,24,0,0,Australia
SM Harwood,2007-2009,3,3,12,0,113,3,2\21,37.66,9.41,24,0,0,Australia
JW Hastings,2010-2011,3,3,10,0,66,3,3\14,22,6.6,20,0,0,Australia
NM Hauritz,2009-2009,3,2,7.2,0,47,2,1\20,23.5,6.4,22,0,0,Australia
JR Hazlewood,2013-2014,4,4,16,0,155,7,4\30,22.14,9.68,13.7,1,0,Australia
MC Henriques,2009-2014,4,3,7,0,65,3,2\35,21.66,9.28,14,0,0,Australia
BW Hilfenhaus,2007-2012,7,7,26,0,161,9,2\15,17.88,6.19,17.3,0,0,Australia
BJ Hodge,2007-2014,15,3,5,0,43,1,1\13,43,8.6,30,0,0,Australia
JR Hopes,2005-2010,12,12,37,0,283,10,2\26,28.3,7.64,22.2,0,0,Australia
MEK Hussey,2005-2012,38,1,1,0,5,0,0,0,5,0,0,0,Australia
MS Kasprowicz,2005-2005,2,2,7,0,57,5,4\29,11.4,8.14,8.4,1,0,Australia
B Laughlin,2009-2013,3,3,11.5,0,118,2,1\32,59,9.97,35.5,0,0,Australia
B Lee,2005-2012,25,25,90.5,0,714,28,3\23,25.5,7.86,19.4,0,0,Australia
ML Lewis,2006-2006,2,2,7.3,0,49,4,2\18,12.25,6.53,11.2,0,0,Australia
GD McGrath,2005-2005,2,2,8,0,79,5,3\31,15.8,9.87,9.6,0,0,Australia
MR Marsh,2011-2012,3,2,5,0,41,1,1\30,41,8.2,30,0,0,Australia
GJ Maxwell,2012-2014,21,17,44,0,320,11,2\15,29.09,7.27,24,0,0,Australia
JM Muirhead,2014-2014,5,5,15,0,109,6,2\13,18.16,7.26,15,0,0,Australia
SNJ O'Keefe,2010-2011,7,7,19,0,149,6,3\29,24.83,7.84,19,0,0,Australia
JL Pattinson,2011-2012,4,4,13,0,104,3,2\17,34.66,8,26,0,0,Australia
PM Siddle,2009-2010,2,2,8,0,58,3,2\24,19.33,7.25,16,0,0,Australia
A Symonds,2005-2009,14,12,30.5,0,277,8,2\14,34.62,8.98,23.1,0,0,Australia
AC Voges,2007-2013,7,1,2,0,5,2,2\5,2.5,2.5,6,0,0,Australia
CL White,2007-2014,44,5,7,0,51,1,1\11,51,7.28,42,0,0,Australia
GJ Bailey,2012-2014,28,0,0,0,0,0,0,0,0,0,0,0,Australia
TR Birt,2010-2012,4,0,0,0,0,0,0,0,0,0,0,0,Australia
CJ Ferguson,2009-2009,3,0,0,0,0,0,0,0,0,0,0,0,Australia
