Player_Name,Span,Matches,Field_Inns,Dissmissals,Ct,St,Ct_Wk,Ct_Fi,Country
DA Warner,2009-2014,51,51,28,28,0,0,28,Australia
DJ Hussey,2008-2012,39,39,24,24,0,0,24,Australia
BJ Haddin,2006-2014,33,33,22,17,5,17,0,Australia
CL White,2007-2014,44,44,22,22,0,0,22,Australia
MEK Hussey,2005-2012,38,38,20,20,0,0,20,Australia
AC Gilchrist,2005-2008,13,13,17,17,0,17,0,Australia
SPD Smith,2010-2011,20,20,16,16,0,0,16,Australia
SR Watson,2006-2014,45,45,15,15,0,0,15,Australia
MS Wade,2011-2014,22,22,14,12,2,12,0,Australia
MJ Clarke,2005-2010,34,34,13,13,0,0,13,Australia
GJ Maxwell,2012-2014,21,21,11,11,0,0,11,Australia
GJ Bailey,2012-2014,28,28,9,9,0,0,9,Australia
RT Ponting,2005-2009,17,17,8,8,0,0,8,Australia
NW Bracken,2006-2009,19,19,6,6,0,0,6,Australia
B Lee,2005-2012,25,25,6,6,0,0,6,Australia
DT Christian,2010-2014,15,15,5,5,0,0,5,Australia
BJ Hodge,2007-2014,15,15,5,5,0,0,5,Australia
MG Johnson,2007-2013,30,30,5,5,0,0,5,Australia
SR Clark,2006-2007,9,9,4,4,0,0,4,Australia
NM Coulter-Nile,2013-2014,10,10,4,4,0,0,4,Australia
BCJ Cutting,2013-2014,3,3,4,4,0,0,4,Australia
TD Paine,2009-2011,5,5,4,4,0,4,0,Australia
AJ Finch,2011-2014,18,18,3,3,0,0,3,Australia
JR Hopes,2005-2010,12,12,3,3,0,0,3,Australia
SE Marsh,2008-2013,13,13,3,3,0,0,3,Australia
JM Muirhead,2014-2014,5,5,3,3,0,0,3,Australia
JL Pattinson,2011-2012,4,4,3,3,0,0,3,Australia
MA Starc,2012-2014,18,18,3,3,0,0,3,Australia
A Symonds,2005-2009,14,14,3,3,0,0,3,Australia
SW Tait,2007-2011,19,19,3,3,0,0,3,Australia
AC Voges,2007-2013,7,7,3,3,0,0,3,Australia
DE Bollinger,2011-2014,6,6,2,2,0,0,2,Australia
JP Faulkner,2012-2014,7,7,2,2,0,0,2,Australia
MS Kasprowicz,2005-2005,2,2,2,2,0,0,2,Australia
SM Katich,2005-2006,3,3,2,2,0,0,2,Australia
TR Birt,2010-2012,4,4,1,1,0,0,1,Australia
PJ Cummins,2011-2012,11,11,1,1,0,0,1,Australia
CJ Ferguson,2009-2009,3,3,1,1,0,0,1,Australia
NM Hauritz,2009-2009,3,3,1,1,0,0,1,Australia
ML Hayden,2005-2007,9,9,1,1,0,0,1,Australia
MC Henriques,2009-2014,4,4,1,1,0,0,1,Australia
GB Hogg,2006-2014,15,15,1,1,0,0,1,Australia
B Laughlin,2009-2013,3,3,1,1,0,0,1,Australia
ML Lewis,2006-2006,2,2,1,1,0,0,1,Australia
CA Lynn,2014-2014,2,2,1,1,0,0,1,Australia
GD McGrath,2005-2005,2,2,1,1,0,0,1,Australia
MR Marsh,2011-2012,3,3,1,1,0,0,1,Australia
DR Martyn,2005-2006,4,4,1,1,0,0,1,Australia
DP Nannes,2009-2010,15,15,1,1,0,0,1,Australia
SNJ O'Keefe,2010-2011,7,7,1,1,0,0,1,Australia
XJ Doherty,2012-2013,11,11,0,0,0,0,0,Australia
Fawad Ahmed,2013-2013,2,2,0,0,0,0,0,Australia
B Geeves,2009-2009,1,1,0,0,0,0,0,Australia
JN Gillespie,2005-2005,1,1,0,0,0,0,0,Australia
RJ Harris,2010-2010,3,3,0,0,0,0,0,Australia
SM Harwood,2007-2009,3,3,0,0,0,0,0,Australia
JW Hastings,2010-2011,3,3,0,0,0,0,0,Australia
JR Hazlewood,2013-2014,4,4,0,0,0,0,0,Australia
BW Hilfenhaus,2007-2012,7,7,0,0,0,0,0,Australia
CJ McKay,2010-2013,6,6,0,0,0,0,0,Australia
NJ Maddinson,2013-2013,1,1,0,0,0,0,0,Australia
AA Noffke,2007-2008,2,2,0,0,0,0,0,Australia
MJ North,2009-2009,1,1,0,0,0,0,0,Australia
LA Pomersbach,2007-2007,1,1,0,0,0,0,0,Australia
BJ Rohrer,2013-2013,1,1,0,0,0,0,0,Australia
L Ronchi,2008-2009,3,3,0,0,0,0,0,Australia
PM Siddle,2009-2010,2,2,0,0,0,0,0,Australia
SCJ Broad,2006-2014,53,53,21,21,0,0,21,England
LJ Wright,2007-2014,47,47,14,14,0,0,14,England
EJG Morgan,2009-2014,46,46,21,21,0,0,21,England
GP Swann,2008-2012,36,36,4,4,0,0,4,England
KP Pietersen,2005-2012,35,35,14,14,0,0,14,England
RS Bopara,2008-2014,34,34,5,5,0,0,5,England
TT Bresnan,2006-2014,33,33,10,10,0,0,10,England
JC Buttler,2011-2014,33,33,11,10,1,9,1,England
PD Collingwood,2005-2011,33,33,13,13,0,0,13,England
JW Dernbach,2011-2014,32,32,7,7,0,0,7,England
AD Hales,2011-2014,29,29,16,16,0,0,16,England
MJ Lumb,2010-2014,25,25,7,7,0,0,7,England
C Kieswetter,2010-2012,23,23,18,15,3,15,0,England
JM Anderson,2007-2009,18,18,3,3,0,0,3,England
JM Bairstow,2011-2013,17,17,20,20,0,1,19,England
ST Finn,2011-2013,17,17,4,4,0,0,4,England
SR Patel,2011-2013,17,17,3,3,0,0,3,England
OA Shah,2007-2009,16,16,5,5,0,0,5,England
RJ Sidebottom,2007-2010,16,16,5,5,0,0,5,England
AD Mascarenhas,2007-2009,14,14,7,7,0,0,7,England
JC Tredwell,2012-2014,14,14,2,2,0,0,2,England
MH Yardy,2006-2011,13,13,8,8,0,0,8,England
MJ Prior,2007-2010,9,9,8,6,2,6,0,England
IR Bell,2006-2011,7,7,4,4,0,0,4,England
A Flintoff,2005-2007,7,7,5,5,0,0,5,England
JE Root,2012-2014,7,7,4,4,0,0,4,England
MM Ali,2014-2014,6,6,1,1,0,0,1,England
DR Briggs,2012-2014,6,6,1,1,0,0,1,England
CJ Jordan,2014-2014,6,6,5,5,0,0,5,England
BA Stokes,2011-2014,6,6,0,0,0,0,0,England
IJL Trott,2007-2010,6,6,0,0,0,0,0,England
SM Davies,2009-2011,5,5,3,2,1,2,0,England
JS Foster,2009-2009,5,5,6,3,3,3,0,England
AU Rashid,2009-2009,5,5,0,0,0,0,0,England
AN Cook,2007-2009,4,4,1,1,0,0,1,England
JL Denly,2009-2010,4,4,1,1,0,0,1,England
DL Maddy,2007-2007,4,4,1,1,0,0,1,England
SI Mahmood,2006-2009,4,4,1,1,0,0,1,England
CP Schofield,2007-2007,4,4,1,1,0,0,1,England
AJ Strauss,2005-2009,4,4,1,1,0,0,1,England
CR Woakes,2011-2013,4,4,1,1,0,0,1,England
JWM Dalrymple,2006-2007,3,3,1,1,0,0,1,England
SD Parry,2014-2014,3,3,2,2,0,0,2,England
A Shahzad,2010-2011,3,3,1,1,0,0,1,England
VS Solanki,2005-2007,3,3,3,3,0,2,1,England
ME Trescothick,2005-2006,3,3,2,2,0,0,2,England
D Gough,2005-2006,2,2,0,0,0,0,0,England
SJ Harmison,2005-2006,2,2,1,1,0,0,1,England
GO Jones,2005-2006,2,2,2,2,0,2,0,England
EC Joyce,2006-2007,2,2,0,0,0,0,0,England
J Lewis,2005-2007,2,2,1,1,0,0,1,England
SC Meaker,2012-2012,2,2,1,1,0,0,1,England
P Mustard,2008-2008,2,2,0,0,0,0,0,England
MP Vaughan,2005-2007,2,2,0,0,0,0,0,England
TR Ambrose,2008-2008,1,1,2,1,1,1,0,England
GJ Batty,2009-2009,1,1,0,0,0,0,0,England
SG Borthwick,2011-2011,1,1,1,1,0,0,1,England
RWT Key,2009-2009,1,1,1,1,0,0,1,England
A Khan,2009-2009,1,1,0,0,0,0,0,England
RJ Kirtley,2007-2007,1,1,0,0,0,0,0,England
PA Nixon,2007-2007,1,1,1,0,1,0,0,England
MS Panesar,2007-2007,1,1,0,0,0,0,0,England
LE Plunkett,2006-2006,1,1,0,0,0,0,0,England
WB Rankin,2013-2013,1,1,0,0,0,0,0,England
CMW Read,2006-2006,1,1,1,1,0,1,0,England
JN Snape,2007-2007,1,1,1,1,0,0,1,England
CT Tremlett,2007-2007,1,1,0,0,0,0,0,England
BB McCullum,2005-2014,66,66,42,34,8,24,10,New Zealand
LRPL Taylor,2006-2014,57,57,36,36,0,0,36,New Zealand
MJ Guptill,2009-2014,47,47,24,24,0,0,24,New Zealand
NL McCullum,2007-2014,54,54,20,20,0,0,20,New Zealand
TG Southee,2008-2014,34,34,15,15,0,0,15,New Zealand
JEC Franklin,2006-2013,36,36,13,13,0,0,13,New Zealand
JDP Oram,2005-2012,35,35,12,12,0,0,12,New Zealand
CJ Anderson,2012-2014,11,11,10,10,0,0,10,New Zealand
PD McGlashan,2006-2010,11,11,9,9,0,9,0,New Zealand
L Ronchi,2013-2014,8,8,9,8,1,8,0,New Zealand
DL Vettori,2007-2012,33,33,9,9,0,0,9,New Zealand
KD Mills,2005-2014,40,40,8,8,0,0,8,New Zealand
SB Styris,2005-2010,31,31,8,8,0,0,8,New Zealand
KS Williamson,2011-2014,17,17,8,8,0,0,8,New Zealand
JD Ryder,2008-2014,22,22,7,7,0,0,7,New Zealand
GJ Hopkins,2007-2010,10,10,6,4,2,2,2,New Zealand
DAJ Bracewell,2011-2012,13,13,5,5,0,0,5,New Zealand
RJ Nicol,2010-2013,20,20,5,5,0,0,5,New Zealand
SE Bond,2005-2010,20,20,4,4,0,0,4,New Zealand
NT Broom,2009-2013,10,10,4,4,0,0,4,New Zealand
PG Fulton,2006-2012,12,12,4,4,0,0,4,New Zealand
MJ McClenaghan,2012-2014,14,14,4,4,0,0,4,New Zealand
JS Patel,2005-2008,11,11,4,4,0,0,4,New Zealand
NJ Astle,2005-2006,4,4,3,3,0,0,3,New Zealand
IG Butler,2009-2013,18,18,3,3,0,0,3,New Zealand
CD McMillan,2005-2007,8,8,3,3,0,0,3,New Zealand
JDS Neesham,2012-2014,7,7,3,3,0,0,3,New Zealand
AJ Redmond,2009-2010,7,7,3,3,0,0,3,New Zealand
DG Brownlie,2010-2012,4,4,2,2,0,0,2,New Zealand
SP Fleming,2005-2006,5,5,2,2,0,0,2,New Zealand
DR Flynn,2008-2012,5,5,2,2,0,0,2,New Zealand
RM Hira,2012-2013,13,13,2,2,0,0,2,New Zealand
C Munro,2012-2014,13,13,2,2,0,0,2,New Zealand
BJ Watling,2009-2009,2,2,2,2,0,2,0,New Zealand
AR Adams,2005-2006,4,4,1,1,0,0,1,New Zealand
GW Aldridge,2011-2011,1,1,1,1,0,0,1,New Zealand
CL Cairns,2005-2006,2,2,1,1,0,0,1,New Zealand
C de Grandhomme,2012-2012,4,4,1,1,0,0,0,New Zealand
